question,answer
"QUESTION: 
","ANSWER: <p>you don&#39;t need to prove that. you can just state it.</p>
"
"QUESTION: <p>When I am trying to type in a cardinality equation, it always gives me this same error.</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcsbvro3xqq45j%2F1367d0f584fd12a05c873be326ec194191617dcd5846a60c8592360f899ba90f%2Fimage.png"" alt=""image.png"" /></p>
<p></p>
<p>The issue is with the &#34;\newline |A| = 8&#34; part of the code. How am I supposed to fix this?</p>
<p></p>
<p></p>
","ANSWER: <p>maybe instead of \newline, use a double backslash:</p>
<pre>
\\</pre>
<p></p>
"
"QUESTION: <p>Can I simply say &#34;by rule of thumb&#34; without indicating it is P1, P2, or P3? </p>
","ANSWER: <p>you should indicate the number</p>
"
"QUESTION: <p>When picking a sequence, can we have repeat numbers and letters?</p>
","ANSWER: <p>Yes</p>
"
"QUESTION: <p>How do we prove that a number is an integer?</p>
","ANSWER: <p>If you&#39;re just looking at a number, say 7, you can just say that it is an integer. But if it is a more abstract quantity (such as the product/sum of other numbers/variables), then some sort of justification based on the closure of integers would suffice.</p>
<p></p>
<p>For example, suppose I want to show that $$k = 2x + y$$ is an integer. And suppose we know that $$x$$ and $$y$$ are integers, then you could just say that $$k$$ is an integer because $$x$$ and $$y$$ are integers and the integer set is closed under addition and multiplication.</p>
"
"QUESTION: <p>Do we need to prove that an odd integer cannot be divided by two? Or will it suffice to say that if a number is odd, it cannot be divided by two?</p>
","ANSWER: You do not need to prove this
"
"QUESTION: <p>Do we need to prove the problem when x = y &#43; 1 and x = y - 1?</p>
","ANSWER: <p>this is something we&#39;d like you to think about.</p>
"
"QUESTION: <p>For question 3, for the function min(x,y), I know that it is clarified that min takes the lower of the two values, but what would its outcome be if x and y were the same integer?</p>
","ANSWER: <p>Then $$min(x, y) = x = y$$. </p>
"
"QUESTION: <p>I want to use a formula that I learned in previous math classes (my LaTeX solution is pasted below) for part b of Q3, but I&#39;m not sure if it&#39;s something we can use or if I have to prove it. Is the statement I wrote in the top line useable, or do I need to prove it somehow? </p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl750inz2wr81ow%2F381c351e0ea53490d4cbe2e654e3e08ff3a2b22cc2a0ec93e8ddde2a4fc1f31e%2Fimage.png"" alt=""image.png"" /></p>
","ANSWER: <p>factorization is something you do not need to prove.</p>
"
"QUESTION: <p>basically, are we picking arbitrary or is it at random?</p>
","ANSWER: It is asking if it is possible
"
"QUESTION: 
","ANSWER: In the definition for prime, we say that a prime number is greater than or equal to 2
"
"QUESTION: <p>Do we have to prove that (2k - 1) is odd?? Or is this given if (2k &#43;1) is odd??</p>
","ANSWER: <p>A one sentence justification of why $$2k - 1$$ is odd would be nice.</p>
"
"QUESTION: <p>I am trying to find out how to write this symbol: &#34;|&#34; but with a slash through it, and I was wondering if this was possible to achieve in Latex?</p>
","ANSWER: \nmid
"
"QUESTION: <p>I think the way the question is worded makes it hard to figure out how to answer.</p>
<p></p>
<p>So basically, there are many many ways that one choose some two balls in some sequence.</p>
<p></p>
<p>I think what the question is asking is if the last numbered ball is <strong>always </strong>1, regardless of whatever moves are made.</p>
<p></p>
<p>If that&#39;s what is intended, I think that should be specified.</p>
","ANSWER: <p>You need to show if it is possible for it to be 1. And if not, then you should prove otherwise.</p>
"
"QUESTION: <p>2 (a) The letter code cannot begin with “A”, “B”, or “C”. Does this mean like for the 3 letters, only the first one cannot be A, B, and C?</p>
","ANSWER: <p>correct</p>
"
"QUESTION: 
","ANSWER: <p>you should justify this.</p>
"
"QUESTION: <p>Hello, on Q4 my headers are overlapping. I checked the enumerate command and it looks normal, any tips on how to fix it?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkyknkpxzuyl5wg%2Fb5f75b12716b6aa5405524ecde11ad794c0467b6326ae5950c194a09df471616%2FScreen_Shot_2023-01-15_at_4.24.54_PM.png"" width=""80"" height=""688"" alt="""" /></p>
","ANSWER: Can you provide an image of what the code looks like
"
"QUESTION: <p>We talked about the Sum of Cubes formula in class (x^3&#43;1) = (x&#43;1)(....), but are we allowed to use that for 3b?</p>
","ANSWER: <p>you are allowed to use content covered in class for homework questions.</p>
"
"QUESTION: <p>I understand that Min gives the &#39;smallest&#39; value but does it give the smallest value via absolute value or just the smallest value</p>
","ANSWER: <p>just the smallest value</p>
"
"QUESTION: <p>Since x and y are positive integers, are they elements of Z&#43; / N or should it include 0 for the case with either 0 pools or 0 DJs?</p>
","ANSWER: <p>$$x$$ and $$y$$ are positive integers. So that means $$x, y \in \mathbb{Z^+}$$. This means that neither $$x$$ nor $$y$$ can be 0.</p>
"
"QUESTION: <p>For Q7, I want to use the fact that there are 1011 even integers and 1012 odd integers from 1 to 2023. Do I have to prove this? </p>
","ANSWER: <p>some amount of justification for this would be nice</p>
"
"QUESTION: <p>How is CIS1600 a valid ticket ID if the letter code can not begin with &#34;A&#34;, &#34;B&#34;, or &#34;C&#34;?</p>
","ANSWER: <p>you might have an old version of the homework. It has since been updated to point out this CIS1600 is not valid.</p>
"
"QUESTION: 
","ANSWER: No
"
"QUESTION: <p>For example, x^3&#43;1 = (x&#43;1)(x^2-x&#43;1) holds for real numbers too but is it okay to state that it holds for integers? </p>
","ANSWER: yeah that’s fine
"
"QUESTION: <p>2^183 &#43; 1 = (2 &#43; 1)(2^182 − 2^181 &#43; · · · − 2 &#43; 1).<br />Let’s denote (2 &#43; 1) by r and (2^182 − 2^181 &#43; · · · − 2 &#43; 1) by s. Then both r and s are factors<br />of 2^183 &#43; 1. Since 1 &lt; r &lt; s and they are both positive integer factors which are neither 1<br />nor equal to 2^183 &#43; 1, we can see that 2^183 &#43; 1 is a composite number</p>
<p></p>
<p>In the proof above, do we have to prove that r&lt;s? </p>
","ANSWER: This is something you should think about
"
"QUESTION: <p>For the question on lecture notes 1.6, they mention that three sets have an &#34;empty intersection.&#34; Does this just mean that all three of the sets contain the empty set? What is an &#34;empty intersection&#34;?</p>
","ANSWER: <p>Three sets $$A, B, C$$ have an <em>&#34;empty intersection&#34;</em> if $$A \cap B \cap C = \emptyset$$</p>
"
"QUESTION: <p>Is it necessary/suggested to download Latex and the text editor? Can we just use the web browser version? Or do we need more than the web browser version&#39;s tools. Thanks!</p>
","ANSWER: <p>We highly encourage you to use <a href=""https://overleaf.com"" target=""_blank"" rel=""noopener noreferrer"">overleaf</a>. It is a free, online tool for writing up LaTeX projects and requires no extra downloads. Visit <a href=""https://overleaf.com/edu/upenn"" target=""_blank"" rel=""noopener noreferrer"">overleaf.com/edu/upenn</a> for information of how to set up your account and have it linked to your upenn email.</p>
"
"QUESTION: <p>I was wondering if it would be considered a valid proof for 3b if I showed that 2^183 would have an n &gt; 4 in the context of Fermat&#39;s primes, which would show that 2^183 must not be prime and therefore be a composite number. I have also attached the specific slide for reference.</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fky948y98t5z3%2F600a83754d1610746dd141cce4a0cc8c7cd98994d532d7f1307cbce8a624b99c%2FScreenshot_2023-01-16_at_2.23.22_PM.png"" width=""365"" height=""220"" alt="""" /></p>
","ANSWER: Unfortunately, we are unable to comment on the validity of a solution
"
"QUESTION: 
","ANSWER: Nah
"
"QUESTION: There is also some weird italicisation that is not green, but would be italicised in the preview 
<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkxaroeu1gmk2e6%2F553e3fc4e43d9fb2c32a1c930f5f409a567a1cbad9b93305d21a82d093b3f169%2FScreen_Shot_2023-01-16_at_3.03.04_PM.png"" alt=""Screen_Shot_2023-01-16_at_3.03.04_PM.pngNaN"" /><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkxaroeu1gmk2e6%2F485bcd16cbe84ef5ddac6f174e4e1083fe549de3a2dcbd8214ab9f70a57eda7e%2FScreen_Shot_2023-01-16_at_3.32.28_PM.png"" alt=""Screen_Shot_2023-01-16_at_3.32.28_PM.pngNaN"" />
","ANSWER: <p>You don&#39;t need to be in math mode when in the align environment. So you should remove the dollar signs within the align environment, and that should hopefully fix things.</p>
"
"QUESTION: <p>When will homeworks generally be due in this class? Will it be once a week on Wednesday like with HW 1?</p>
","ANSWER: <p>The general plan is to have one homework per week. It will almost always be due on wednesday night.</p>
"
"QUESTION: <p>I&#39;m following the Latex guide <a href=""https://www.cis.upenn.edu/~cis1600/current/files/resources/CIS_160_LaTeX_guide.pdf"" target=""_blank"" rel=""noopener noreferrer"">https://www.cis.upenn.edu/~cis1600/current/files/resources/CIS_160_LaTeX_guide.pdf</a> but when I type the two absolute value bars to show up as |A|, the output in Overleaf becomes two horizontal lines.</p>
","ANSWER: <p>make sure you are in math mode!</p>
"
"QUESTION: 
","ANSWER: <p>you don&#39;t have to prove this</p>
"
"QUESTION: <p>Can we say that if there are 2023 beach balls with numbers from 1-2023 inclusive that there must be 1012 odd and 1011 even beach balls based on the fact that 1 and 2023 are both odd?</p>
","ANSWER: <p>A brief explanation of this would be nice.</p>
"
"QUESTION: <p>To prove that the darren number cannot be prime, can I just consider the case that the darren number is prime and disprove it?</p>
","ANSWER: <p>this is something we&#39;d like you to think about</p>
"
"QUESTION: <p>Do we have to include the case in which x is a consecutive number greater than y? Or is it assumed that x and y are consecutive numbers respectively?</p>
","ANSWER: <p>this is something we&#39;d like you to think about</p>
"
"QUESTION: For Q3 on the HW what’s a composite number?
","ANSWER: <p>A composite number is a number that is not prime.</p>
"
"QUESTION: <p>Do we need to follow a certain convention to name our homework when we submit it?</p>
","ANSWER: Nope
"
"QUESTION: <p>Hi,</p>
<p></p>
<p>I am enrolled in this class on canvas and path@penn however I do not see it on my gradescope and hence am unable o access the homework. Could you please help me with this?</p>
<p></p>
<p>Thank you!</p>
<p></p>
<p></p>
<p>Sincerely,</p>
<p>Anushka</p>
","ANSWER: <p>On gradescope, click on &#34;Enroll in Course&#34; at the bottom of the screen. Then enter the code <strong>XVKJE8. </strong></p>
<p></p>
"
"QUESTION: <p>For problem 3, can you factor 2^183 &#43; 1 as (2&#43;1)(2^182 - 2^181 &#43; 2^180 - ... &#43; 2^2 - 2 &#43; 1) as an algebraic factoring method? Just as x^5 &#43; 1 can be factored as (x&#43;1)(x^4 - x^3 &#43; x^2 - x &#43; 1), can we factor out this problem to solve it without proving the factoring methodology?</p>
","ANSWER: <p>you do not need to prove factoring</p>
"
"QUESTION: <p>title</p>
","ANSWER: <p>nah</p>
"
"QUESTION: <p>do you we have to prove that 183 is composite? is it ok to assume that we know that 61 * 3 = 183</p>
","ANSWER: <p>you don&#39;t have to prove this</p>
"
"QUESTION: <p>I was going to write out the steps like the license plate problem. Is that ok?</p>
<p>To also clarify -&gt; proofs use English and math? or do you only want math?</p>
","ANSWER: <p>You should be justifying your solutions. How you choose to do that is up to you. Any logically complete and rigorous solution will receive credit. A combination of English and math is encouraged!</p>
"
"QUESTION: 
","ANSWER: <p>Order does not matter for sets. Order does matter for pairs.</p>
"
"QUESTION: <p>For Q1 part c), do we need to list every element in A?</p>
","ANSWER: Yea
"
"QUESTION: <p>by definition of odd, n = 2k &#43; 1. can it be assumed that 2k - 1 is an odd number by this rule as well?</p>
","ANSWER: A one sentence explanation would be nice
"
"QUESTION: <p>For part b of question 3, I rewrite 2^(183) &#43; 1 as 2^((61)^3) so that I can use the proof in the lectures that says for all integers x &gt; 1, then x^3 &#43; 1 is not prime. For the part where I&#39;m rewriting 2^(183) &#43; 1, is it enough to say that I can do this because of the power rule for exponents? I&#39;m not sure whether I need to prove that I can rewrite it or if there was a particular rule name that I could give in my answer. </p>
","ANSWER: Yes that’s enough
"
"QUESTION: <p>are we allowed to use summation notation to represent the pattern for question 3b? I know we didn&#39;t necessarily talk about it in class.</p>
<p></p>
<p></p>
","ANSWER: <p>sure</p>
"
"QUESTION: <p>When I type an equal sign in latex it appears as a straight line. I googled to see if there was a command but it seems like just typing &#34;=&#34; is what you&#39;re meant to do. Any way to fix this?</p>
","ANSWER: Are you in math mode?
"
"QUESTION: <p><em>I&#39;m trying to submit but there are errors with brackets that I cant figure out, is there a way to override/still submit? It compiles but pressing submit isn&#39;t working.</em></p>
","ANSWER: <p>You should not be clicking &#34;Submit&#34; on overleaf. Instead, click the button which is 2 to the right of the compile button (the button with the downwards arrow) and that will download your work as a pdf. Then, upload the pdf to gradescope.</p>
"
"QUESTION: <p>Yesterday we went over a question in class that said &#34;distribute a, b, c to A, B, C&#34;. Does distribute imply that A, B, C must each receive at least 1 element? Or does it just mean that the objects that are being distributed must all be used? </p>
","ANSWER: <p>the latter. If each of A, B, C must receive at least 1 element, then it would have been explicitly stated.</p>
"
"QUESTION: <p>Do I need to explain why for this question instead of just simply showing what A and B are?<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl7ga3way2da7hz%2Fdc82ba36f0cd163d5f825b1cfdd0d7725bccb502c4d7074aaeaaeb92945b50d2%2Fimage.png"" alt=""image.pngNaN"" /></p>
","ANSWER: You can just provide A and B without explanation
"
"QUESTION: <p>Is it a typo here for d &lt; f (instead of e&lt;f)?<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl7ga3way2da7hz%2F05e957b6c0bf967f5990c5a819f66953d45a528f8a6b8a4afffde8100eef3b48%2Fimage.png"" alt=""image.pngNaN"" /></p>
","ANSWER: No it is not a typo.
"
"QUESTION: 
","ANSWER: <p>In short, a closed form expression is essentially a term which can be evaluated in a fixed finite number of operations. Some examples would be $$1, x^2 + 1$$ or $$2n$$.</p>
<p></p>
<p>Examples of expressions that are not closed form usually involve summations with non-constant bounds such as $$\sum_{i=1}^n i$$. We&#39;ll be posting a more in-depth description of what closed form is on piazza very soon. </p>
<p></p>
<p>Update: @138</p>
"
"QUESTION: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcsc5hbf3sr11e%2F54ca330329dd3641de9815bb025b114b7e0159c81bf035d46646816cb78cab08%2FScreen_Shot_2023-01-20_at_1.53.06_PM.png"" width=""1188"" height=""148"" alt=""The question on the quiz on module 2.6 asked that. Even though there&#39;s an explanation stated when I reviewed it, I didn&#39;t understand the concept. Can someone please explain."" /></p>
","ANSWER: <p>what exactly do you have a question about here?</p>
"
"QUESTION: <md>Do I need to explicitly state ""such that"" ($$s.t.$$) when using set-builder notation with $$\exists$$? For instance, is it valid to rewrite the following:
",
"$$\{ x\ \vert\ \exists k \in \mathbb{N}\ s.t. x = 2k \}$$
",
"as:
",
"$$\{ x\ \vert\ \exists k \in \mathbb{N}\  x = 2k \}$$
?</md>
","ANSWER: <p>no, it is not necessary, but it is nice to include for clarity.</p>
"
"QUESTION: <md>Is this a valid way to say for all integers from $$1$$ to $$100$$?
",
"$$\forall k \in \{1, 2, ..., 100\}$$</md>
","ANSWER: <p>this reads as &#34;for all k in the set 1, 2, ..., 100&#34;. As a standalone statement, it doesn&#39;t really mean too much, so typically this would be followed by some other condition/fact about $$k$$</p>
"
"QUESTION: <md>Are we allowed to put parentheses in set-builder notation to be more clear?
",
"e.g. $$\{  x\mid (0 < x < 100)\ \land\ (x \in \mathbb{N})\}$$</md>
","ANSWER: <p>yep that&#39;s fine</p>
"
"QUESTION: <p>Is zero a natural number in this course?</p>
","ANSWER: Yes
"
"QUESTION: <p>Can we have repeated letters like &#34;aac&#34; for this problem?</p>
","ANSWER: No
"
"QUESTION: do we need to prove that x can be x in R or x notin R?
","ANSWER: No need to prove this
"
"QUESTION: <p>When disproving something, is it sufficient to follow the regular proof pattern and then just point out when something goes wrong? In other words, should we always &#34;attempt&#34; to prove something and then if something goes wrong call it disproved? Or is there a separate approach that we use specifically for disproving something? </p>
","ANSWER: <p>no, this would not be sufficient. This is because there may be multiple ways of proving something, so just finding something wrong in one proof pattern may not cover all possible proofs. </p>
<p></p>
<p>One way of disproving is in the case where you are proving a universal property and provide a counterexample.</p>
"
"QUESTION: <p>Can I leave my answer to Q2 like this</p>
<p>$\binom{j}{k}*(\binom{m-l}{l} &#43; \binom{l}{1}*\binom{m-l}{l-1})$</p>
","ANSWER: <p>yeah that&#39;s fine</p>
"
"QUESTION: <p>Is {1} considered a subset of {1,{2}}?</p>
","ANSWER: <p>yep</p>
"
"QUESTION: <p>not(A and B) = not A or not B</p>
","ANSWER: That is demorgan’s law!
"
"QUESTION: <p>if x does not exist in (A\B), does that mean that x does not exist in A and x exists in B? I don&#39;t know if &#34;x does not exist in &#39;not B&#39;&#34; negates each other.</p>
","ANSWER: <p>this is something we&#39;d like you to think about!</p>
"
"QUESTION: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcply0liip97hz%2Fba1459bd0e0167c6b586edcc268be3deb7c22feab82586edde5d34442cd99074%2FScreen_Shot_2023-01-21_at_7.47.39_PM.png"" alt=""Screen_Shot_2023-01-21_at_7.47.39_PM.png"" /></p>
<p>Does the symbol between the c and d mean less than? Is it the same as &#34;&lt;&#34;?</p>
","ANSWER: <p>no. It is just an arbitrary symbol chosen. We define what it means in the problem.</p>
"
"QUESTION: <p>What symbol should we use for the bi-conditional? Should we use the arrows that go both was or just use iff???</p>
","ANSWER: <p>$$\iff$$ and <em>iff</em> are the same thing. So either is fine.</p>
"
"QUESTION: <p>Are the potatoes in the bags (sets) in Q5 all unique?</p>
","ANSWER: <p>yes. But do note that a single unique potato can appear in multiple bags.</p>
"
"QUESTION: <p>For part a of question 8 are we assuming that Zoe&#39;s and Andrews lists have the same number of elements and are the same? Meaning Z = A?</p>
","ANSWER: <p>no</p>
"
"QUESTION: <p>Can Zoe or Andrew pick 0 potatoes, or empty list, since n must be a positive number? </p>
","ANSWER: <p>yes they can</p>
"
"QUESTION: <p>Is it appropriate/ is there a way to use summation notation to run through the elements of a set?</p>
<p>ex:</p>
<p></p>
<p>$$\sum_{n=z}^{S} ({2^{|z|} -1}) = ....$$</p>
<p></p>
<p></p>
<p>S is a set of sets (like a power set)</p>
<p>z is an element of S (meaning z is a set)</p>
<p>|z| is the cardinality of z</p>
<p></p>
<p>Please let me know if I can clarify this question.</p>
","ANSWER: <p>Yeah, the notation would be as follows: $$\sum_{z \in S} (2^{|z|} - 1)$$</p>
"
"QUESTION: <p>What does this symbol mean?</p>
<p></p>
<p>$$\subsetneq$$</p>
","ANSWER: Proper subset
"
"QUESTION: title
","ANSWER: <p>This is something we&#39;d like you to think about!</p>
"
"QUESTION: 
","ANSWER: <p>as long as it precedes it</p>
"
"QUESTION: 
","ANSWER: <p>yes</p>
"
"QUESTION: <p>To prove that the two sets are not equal, do we only need to prove that one element of set X can not be in set Y?</p>
","ANSWER: If X contains an element that Y does not contain, then yes, these sets would not be equal. So showing this would indeed show inequality of two sets
"
"QUESTION: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl7ga3way2da7hz%2Fed94a989e50fd978f97cddca64bad461beb4c4c1b631a04ba1d63815f893fb2a%2Fimage.png"" alt=""image.png"" /></p>
<p>Which of the above symbol should we use for &#34;no less than&#34;?</p>
","ANSWER: <p>\geq is fine</p>
"
"QUESTION: <p>Can we use the answer/conclusion we get from part a to solve part b?  </p>
","ANSWER: <p>sure</p>
"
"QUESTION: <p>Is this solution fine or can we not use summation notation?<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fku5zjeh2enb1ui%2F322308a4dffa88c7240938b8b911aa1ed60089e7ad54d69d110a7e21eb23ab0f%2FScreen_Shot_2023-01-22_at_5.14.50_PM.png"" alt=""Screen_Shot_2023-01-22_at_5.14.50_PM.pngNaN"" /></p>
","ANSWER: <p>please make these types of posts (that reveal part of your solution) private on piazza in the future.</p>
<p></p>
<p>Summation notation is allowed.</p>
"
"QUESTION: <p>Can Zoe have an empty list of potatoes while Andrew has a non-empty list of favorite potatoes? or Must Zoe have at least one potato that appears in Andrew&#39;s list?</p>
","ANSWER: <p>yes to the first question</p>
"
"QUESTION: 
","ANSWER: They can be the same
"
"QUESTION: <p>Is it sufficient to say (by MR) in this case or do I need to prove why MR can be used?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl750inz2wr81ow%2Fdbcd8b3d3c40c7a9f6e8d87e50a70df55f4651bcdf809c2be6f5a4e328b7e22a%2Fimage.png"" alt=""image.png"" /></p>
","ANSWER: <p>you do not need to prove/justify MR. You may, however, lose points for incorrect citation/usage of the MR.</p>
"
"QUESTION: <p>To clarify; does &#34;sometime before&#34; mean that Papa&#39;s Potato-ria cannot appear first before P.F. Potatoes, or does it simply mean that P.F. potatoes must at some point come before Papa&#39;s Potato-ria?</p>
<p></p>
","ANSWER: <p>the latter</p>
"
"QUESTION: <p>Do we need to justify the formulas for permutations/partial permutations/etc. that we used in lecture?</p>
","ANSWER: <p>no</p>
"
"QUESTION: <p>For Q8 b, since Andrew&#39;s set must be more than Zoe&#39;s is Andrew unable to have 0 potatoes?</p>
","ANSWER: <p>that appears to be the case</p>
"
"QUESTION: <p>If we use the &#34;n choose r&#34; format in explanations of the homework, how can we differentiate between permutations and combinations? Is it enough for me to explicitly say that I am finding the number of combinations to show that I am using combinations and not permutations?</p>
","ANSWER: <p>yes that&#39;s fine</p>
"
"QUESTION: <p>Are &#34;It is necessary&#34; and &#34;If and only if&#34; equivalent statements?</p>
","ANSWER: <p>@148</p>
"
"QUESTION: <p>For Q1 do we need parentheses or brackets or is it okay to just list the elements</p>
","ANSWER: <p>either is fine</p>
"
"QUESTION: <p>The \binom{}{} in latex is the same as combination right? Is the any other symbol we can use for permuation nPr? </p>
","ANSWER: Yes to the first question. nPr is fine for permutation (there is no conventional symbol for this)
"
"QUESTION: <md>Do we have to prove that $$\land$$ has a transitive property? In other words, do we have to prove that if $$A \land (B \land C)$$, then $$(A \land B) \land C$$? Or can we cite the transitive property?</md>
","ANSWER: <p>that isn&#39;t the transitive property -- that is the associative property. You do not need to prove this.</p>
"
"QUESTION: <p>Q4.e is (syntactically) an &#34;and&#34; clause: &#34;The CIS 1600 TAs do not love Five Guys fries and potatoes are a very versatile food.&#34; I&#39;m not a native English speaker, and when I learned the &#34;and&#34; clause, it can mean a weak implication or conjunction, below shows 1 example of each case (without specific context)</p>
<p></p>
<p>conjunction: Tom is a student and John is a teacher.</p>
<p></p>
<p>implication: Do well on the final and you will get an A.</p>
<p></p>
<p>Which one did the question composer mean? I&#39;m not sure if this gets too close to the answer so I limited the visibility.</p>
","ANSWER: You can think of it as conjunction.
"
"QUESTION: <p>For example, could you say 4^(cardinality of Andrew&#39;s set) in your solution?</p>
","ANSWER: You could, but you would have to be very careful in ensuring your answer is in closed form
"
"QUESTION: <p>Do we need to prove odd * odd = odd or can we use the fact it was in the 1st HW?</p>
","ANSWER: You can cite that it was used in hw1
"
"QUESTION: <p>While we are using transitivity, we find that there are fixed positions for certain letters (for example, if a letter has to have 2 letters in front of it and 3 behind, it must be in position 4 out of 6). Is this reason enough to state that it will be in that specific position?</p>
","ANSWER: <p>sure</p>
"
"QUESTION: <p>Hi, I&#39;m not sure how Q5 a can be true?</p>
<div>
<div>
<div>
<p>(a) S\(T \R)=(S\T)\R</p>
</div>
<p>For example, if there is some x that is in S, T, and R, it would not be in (T/R) since it is in R, so it would be in S / (T / R). However, this element would not be in (S\T)\R because it is in S and T.</p>
<p>thank you!</p>
</div>
</div>
","ANSWER: <p>The problem asks you to &#34;prove or disprove the following properties...&#34;. If you believe a statement to not be true, then you are welcome to disprove it!</p>
"
"QUESTION: <p>If we can have 2^n possible subsets for Andrew and say there are m elements in Andrew&#39;s list, there are (n choose m) different lists of cardinality m for Andrew. So, the number of sets for Zoe = 2^m for every m ranging from 0 to n. Is it a valid closed solution to say that the number of total possible set combinations is the summation of ((n choose m) * 2^m) for m ranging from 1 to n?</p>
","ANSWER: <p>that would not be considered closed form</p>
"
"QUESTION: <p>Is <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flcply0liip97hz%2Fcb0cee05838104650a32acdd3080d9e41b3d3b845ea242445181c1771d9edf4c%2Fimage.png"" alt=""image.png"" /> closed form?</p>
","ANSWER: No
"
"QUESTION: <p>Will the midterm questions be harder than the HW questions? Also do you have any idea of how a curve would work for the midterm/ our overall grade?</p>
","ANSWER: <p>In my opinion, homework questions and midterm questions are nearly incomparable due to their respective settings. Once we get closer to the midterm, we will release some sample/practice questions to give you a better idea of what you <em>could</em> expect to see on the exam.</p>
<p></p>
<p>For the second question, no.</p>
"
