question,answer
"QUESTION: <p>I&#39;m a bit confused on the wording regarding the 59 shades and the 12 disjoint pairs of lipsticks. Does each of the 59 shades individually have 12 disjoint pairs of lipsticks, meaning altogether there are 59 * 12 disjoint pairs of lipsticks? Or do all 59 shades together have 12 disjoint pairs of lipsticks (but then I&#39;m not sure why we would need to know the number of shades)? And for each disjoint pair, does &#34;disjoint&#34; imply that all the variants of green and orange are unique / do not repeat across the pairs? Do the variants have any connection to the number of shades? </p>
","ANSWER: <p>You can think of it as there are 59 lipsticks, each a different shade. Within the 59, there are 12 disjoint pairs that satisfy the criteria. </p>
<p></p>
<p>&#34;Disjoint pairs&#34; mean that if lipstick A is in one pair, then A cannot be in another pair that contributes to the 12 total pairs.</p>
"
"QUESTION: is finding a case in which a proposition is false enough to disprove it? 
","ANSWER: Yes. This is what we call a counterexample
"
"QUESTION: <p>do we need to prove that the product of two even numbers is even?</p>
","ANSWER: You must prove anything that has not been proven in lecture, recitation or a previous homework.<div><br /></div><div>Also, the product of two odd numbers is not even.</div>
"
"QUESTION: <p>What does the vertical line mean in this question?</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fky9490c3bto6gt%2Fd0964fe5789f86fb71591b86131d7327460fa8c3e07b68002e4f93e50f6c7261%2FScreen_Shot_2022-09-06_at_3.42.50_PM.png"" alt=""Screen_Shot_2022-09-06_at_3.42.50_PM.png"" /></p>
","ANSWER: <p>&#34;s divides (qx &#43; ry)&#34;</p>
"
"QUESTION: <p>Can you use mod on the homework?</p>
","ANSWER: <p>sure, but for any sort of modular arithmetic, you should be careful and prove anything that was not proven and define any notation not defined in lecture.</p>
"
"QUESTION: “green shade has to be before the orange shade” - does this mean the green shade has to stand to the left of the orange shade? <div>also, for (b), does the question say that now the order within a pair doesn’t matter (so both OG and GO) works? </div><div>thank you in advance. </div>
","ANSWER: <p>yes and yes</p>
"
"QUESTION: <p>Can we write something like &#34;Consider the prime number <em>insert prime number</em>&#34; without having to demonstrate that it is prime?</p>
","ANSWER: <p>yeah if you want to say &#34;3 is prime&#34;, that&#39;s fine.</p>
"
"QUESTION: <p>Is there a difference between &#34;and t $$\epsilon$$ N&#34; and &#34;, for some t $$\epsilon$$ N&#34; as seen in 1b?</p>
","ANSWER: <p>nah</p>
"
"QUESTION: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl7gybisso1u3th%2F5d7114f1777f7ddccae9925a8246c3e187a5ed4d6beaf5891214dcc25c3c3c3b%2FScreen_Shot_2022-09-06_at_8.39.11_PM.png"" width=""294"" height=""40"" alt="""" /></p>
<p>Is this saying that (s/q) and (s/r) implies s/(qx &#43; ry)? If so, how can two numbers imply a third number?</p>
","ANSWER: No. The vertical line denotes “divides”. So it reads as “s divides q and s divides r implies…”
"
"QUESTION: <p> Can we say this since you are still adding an odd number to 2k so it will still always remain odd?</p>
","ANSWER: You should justify this
"
"QUESTION: <p>In the lecture from k ∈ N it is determined that k &#43; 2 ∈ N. Can we make such assumptions without a proof in the hwk like in 1b?</p>
","ANSWER: <p>yes</p>
"
"QUESTION: <p>Are the orange and green shades within each pair fixed? Or can we rearrange which orange shades are paired with which green shades</p>
","ANSWER: <p>they are fixed.</p>
"
"QUESTION: <p>hi whats the difference between ⊂ and ⊆</p>
","ANSWER: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkbmhj6eluup47f%2Fece7289c859c04cb15226f000dd5261992a22fe5aab1db62e53fecf8cabf0fb1%2Fimage.png"" alt=""image.pngNaN"" /></p>
"
"QUESTION: <p>Can we assume that an integer raised to the power of positive integer results in an integer? Thanks.</p>
","ANSWER: <p>yeah</p>
"
"QUESTION: <p>Can we assume a fraction that cannot be simplified is not a natural number or do we have to justify this?</p>
","ANSWER: yeah you can assume this
"
"QUESTION: <p>For question 2d, does the vertical line mean such that? And if so, what does s such that q mean?</p>
","ANSWER: No. The vertical line denotes “divides”. So it reads as “s divides q and s divides r implies…”
"
"QUESTION: <p>For problem 2, if we provide a counterexample in which a statement is not true, would this count as disproving the statement, because in some cases it&#39;s true and in others it isn&#39;t.</p>
","ANSWER: Yes 
"
"QUESTION: <p>Can we assume that the sum of two odd integers or even integers is even and that an odd plus an even integer is odd? If not and we previously proved it, can we point to our last homework or do we need to copy and paste that proof?</p>
<p></p>
<p>Also, can we assume that an even times an even number is even and an odd times an odd number is odd (and an even times an odd number is even)?</p>
","ANSWER: You can reference your proof from a previous homework (no need to copy and paste, just cite it). <div><br /></div><div>For your second question, you should prove that.</div>
"
"QUESTION: <p>Say we have an equation n=4x^9&#43;3x^2 where x is an integer. Do we have to prove that n is an integer? Thanks.</p>
","ANSWER: A one sentence explanation would be nice.
"
"QUESTION: <p>If there are 12 disjoint pairs of lipsticks, but 59 total shades, what happens to the other 35 shades that are not in those 12 pairs? Are there any restrictions on those?</p>
","ANSWER: No, but they still must appear in the arrangement.
"
"QUESTION: <p>To prove or disprove the statements would providing just a counterexample or example be sufficient?</p>
","ANSWER: <p>Sometimes. You have to be careful as to whether or not the question is an existential or universal question.</p>
"
"QUESTION: <p>I am a little confused with the specifics of this question. Does the 12 pairs of green and orange lipsticks each have a different shade of color? Can for example dark green be paired with dark orange and in another arrangement dark green be paired with medium orange? Also in the arrangements can the sequence dark green, dark orange be followed by another pair of green-orange?</p>
","ANSWER: <p>For your first question, yes, and this comes from the fact that the 59 lipsticks are different shades. </p>
<p></p>
<p>No to your second question.</p>
<p></p>
<p>Yes to your last question.</p>
"
"QUESTION: <p>Can we assume &#34;x | x&#34; is true for any integer x, meaning that an arbitrary but particular integer x always evenly divides itself? Or do we have to prove it?</p>
","ANSWER: A one sentence justification would be nice.
"
"QUESTION: <p>Hi! What does the | mean in this question? Thank you!</p>
","ANSWER: @149
"
"QUESTION: <p>Are we allowed to have circular arrangements of special points such that parallel lines can be drawn between some two pairs of points?</p>
","ANSWER: <p>yes</p>
"
"QUESTION: <p>Does all the 59 shades belong to Orange and green colour only or they can be any color?<br />If they are of any colours than atleast 24 shades out of 59 should be of orange or green right?</p>
","ANSWER: <p>For the first question, they can be any color.</p>
<p>For the second question, yes.</p>
"
"QUESTION: <p>We proved in class that if x and y are integers where x&#43;y is even, then x and y are both odd or both even. Do we have to reprove this for x-y in the homework or can we use the assumption that this rule for x&#43;y also holds for x-y?</p>
","ANSWER: <p>yeah you should prove that.</p>
"
"QUESTION: <p>For question 2d, is proving  that s/(qx&#43;ry) is an integer equivalent to proving that s divides qx&#43;ry ?</p>
","ANSWER: <p>this is something we&#39;d like you to think about</p>
"
"QUESTION: <p>How to denote combination and permutation in latex?</p>
","ANSWER: <p>For combination, use</p>
<pre>
\binom{}{}</pre>
<p>For permutation, there isn&#39;t really a symbol, so you can just write the equation.</p>
"
"QUESTION: <p>Can we still write out proofs in paragraphs/words or do we have to use mathematical notation for all of them now? </p>
","ANSWER: <p>Whatever you feel is best. Any logically and mathematically sound and correct solution will receive credit.</p>
"
"QUESTION: <p>Can I join office hours through Zoom today or is it strictly in-person office hours?</p>
","ANSWER: <p>Attending in person is strongly preferred.</p>
"
"QUESTION: <p>For question 3a and 3b, do you the pairs need to be adjcaent to each other? Or only the shades in the pair need to be adjacent(ie. the ordering of the pairs is not a resitriction).</p>
","ANSWER: <p>The shades within the pair need to be adjacent. The pairs themselves need not be adjacent.</p>
"
"QUESTION: In question #3 part a, once you choose our green, do the number of ways to choose shrink to 1 because the orange is not an orange from any pair but orange from a particular, disjoint pair from which the green came from? thanks. 
","ANSWER: <p>Yes, that green has one specific orange paired with it, so there is only one way to choose once green is chosen.</p>
"
"QUESTION: Are we allowed to use the exact language used in the lecture notes as we go about writing our proofs? 
","ANSWER: Sure
"
